drug_name_original,drug_name_cleaned,pubchem_cid,mapping_status
123138,123138,,failed
123829,123829,,failed
150412,150412,,failed
5-Fluorouracil,Fluorouracil,3385.0,tier1_precomputed
5-azacytidine,5-azacytidine,9444.0,tier1_precomputed
50869,50869,,failed
615590,615590,,failed
630600,630600,,failed
667880,667880,,failed
720427,720427,,failed
729189,729189,,failed
741909,741909,,failed
743380,743380,,failed
765771,765771,,failed
776928,776928,,failed
A-366,A-366,76285486.0,tier1_precomputed
ABT737,ABT737,11228183.0,tier1_precomputed
AGI-5198,AGI-5198,56645356.0,tier1_precomputed
AGI-6780,AGI-6780,71299339.0,tier1_precomputed
AGK2,AGK2,2130404.0,tier1_precomputed
AMG-319,AMG-319,68947304.0,tier1_precomputed
AT13148,AT13148,24905401.0,tier1_precomputed
AZ6102,AZ6102,135905416.0,tier1_precomputed
AZ960,AZ960,25099184.0,tier1_precomputed
AZD1208,AZD1208,58423153.0,tier1_precomputed
AZD1332,AZD1332,49831044.0,tier1_precomputed
AZD2014,AZD2014,25262792.0,tier1_precomputed
AZD3759,AZD3759,78209992.0,tier1_precomputed
AZD4547,AZD4547,51039095.0,tier1_precomputed
AZD5153,AZD5153,118693659.0,tier1_precomputed
AZD5363,AZD5363,25227436.0,tier1_precomputed
AZD5438,AZD5438,16747683.0,tier1_precomputed
AZD5582,AZD5582,49847690.0,tier1_precomputed
AZD5991,AZD5991,131634760.0,tier1_precomputed
AZD6482,AZD6482,44137675.0,tier1_precomputed
AZD6738,AZD6738,121596701.0,tier1_precomputed
AZD7762,AZD7762,11152667.0,tier1_precomputed
AZD8055,AZD8055,25262965.0,tier1_precomputed
AZD8186,AZD8186,52913813.0,tier1_precomputed
Acetalax,Acetalax,8269.0,tier1_precomputed
Afatinib,Afatinib,10184653.0,tier1_precomputed
Afuresertib,Afuresertib,46843057.0,tier1_precomputed
Alisertib,Alisertib,24771867.0,tier1_precomputed
Alpelisib,Alpelisib,56649450.0,tier1_precomputed
Avagacestat,Avagacestat,46883536.0,tier1_precomputed
Axitinib,Axitinib,6450551.0,tier1_precomputed
BDF00022089a,BDF00022089a,,failed
BDILV000379a,BDILV000379a,,failed
BDOCA000347a,BDOCA000347a,,failed
BDP-00009066,BDP-00009066,,failed
BEN,BEN,2332.0,tier1_precomputed
BI-2536,BI-2536,11364421.0,tier1_precomputed
BIBR-1532,BIBR-1532,9927531.0,tier1_precomputed
BMS-345541,BMS-345541,9926054.0,tier1_precomputed
BMS-536924,BMS-536924,135440466.0,tier1_precomputed
BMS-754807,BMS-754807,24785538.0,tier1_precomputed
BPD-00008900,BPD-00008900,,failed
BX795,BX795,10077147.0,tier1_precomputed
Bicalutamide,Bicalutamide,2375.0,tier1_precomputed
Bleomycin,Bleomycin,5360373.0,tier1_precomputed
Bleomycin (50 uM),Bleomycin,5360373.0,tier1_precomputed
Bortezomib,Bortezomib,387447.0,tier1_precomputed
Bosutinib,Bosutinib,5328940.0,tier1_precomputed
Bromosporine,Bromosporine,72943187.0,tier1_precomputed
Buparlisib,Buparlisib,16654980.0,tier1_precomputed
CCT-018159,CCT-018159,984170.0,tier1_precomputed
CCT007093,CCT007093,2314623.0,tier1_precomputed
CDK9_5038,CDK9_5038,,failed
CDK9_5576,CDK9_5576,,failed
CHIR-99021,CHIR99021,9956119.0,tier1_precomputed
CPI-637,CPI-637,121271792.0,tier1_precomputed
CT7033-2,CT7033-2,,failed
CZC24832,CZC24832,42623951.0,tier1_precomputed
Camptothecin,Camptothecin,24360.0,tier1_precomputed
Cediranib,Cediranib,9933475.0,tier1_precomputed
Cisplatin,Cisplatin,5460033.0,tier1_precomputed
Crizotinib,Crizotinib,11626560.0,tier1_precomputed
Cyclophosphamide,Cyclophosphamide,2907.0,tier1_precomputed
Cytarabine,Cytarabine,6253.0,tier1_precomputed
Dabrafenib,Dabrafenib,44462760.0,tier1_precomputed
Dacarbazine,Dacarbazine,135398738.0,tier1_precomputed
Dactinomycin,Dactinomycin,457193.0,tier1_precomputed
Dactolisib,Dactolisib,11977753.0,tier1_precomputed
Daporinad,Daporinad,6914657.0,tier1_precomputed
Dasatinib,Dasatinib,3062316.0,tier1_precomputed
Dihydrorotenone,Dihydrorotenone,243725.0,tier1_precomputed
Dinaciclib,Dinaciclib,46926350.0,tier1_precomputed
Docetaxel,Docetaxel,148124.0,tier1_precomputed
Doramapimod,Doramapimod,156422.0,tier1_precomputed
EHT-1864,EHT-1864,9938202.0,tier1_precomputed
EPZ004777,EPZ004777,56962336.0,tier1_precomputed
EPZ5676,EPZ5676,57345410.0,tier1_precomputed
ERK_2440,ERK_2440,,failed
ERK_6604,ERK_6604,,failed
Eg5_9814,Eg5_9814,,failed
Elephantin,Elephantin,442205.0,tier1_precomputed
Elesclomol,Elesclomol,300471.0,tier1_precomputed
Entinostat,Entinostat,4261.0,tier1_precomputed
Entospletinib,Entospletinib,59473233.0,tier1_precomputed
Epirubicin,Epirubicin,41867.0,tier1_precomputed
Erlotinib,Erlotinib,176870.0,tier1_precomputed
Fludarabine,Fludarabine,657237.0,tier1_precomputed
Foretinib,Foretinib,42642645.0,tier1_precomputed
Fulvestrant,Fulvestrant,104741.0,tier1_precomputed
GDC0810,GDC0810,56941241.0,tier1_precomputed
GNE-317,GNE-317,70676303.0,tier1_precomputed
GSK-LSD1,GSK-LSD1,71522234.0,tier1_precomputed
GSK-LSD1-2HCl ,GSK-LSD1-2HCl,91826516.0,tier1_precomputed
GSK1904529A,GSK-1904529A,25124816.0,tier1_precomputed
GSK2110183B,GSK2110183B,46843056.0,tier1_precomputed
GSK2256098C,GSK2256098C,,failed
GSK2276186C,GSK2276186C,,failed
GSK2578215A,GSK2578215A,68107965.0,tier1_precomputed
GSK2606414,GSK2606414,53469448.0,tier1_precomputed
GSK269962A,GSK269962A,16095342.0,tier1_precomputed
GSK2801,GSK2801,73010930.0,tier1_precomputed
GSK2830371,GSK2830371,70983932.0,tier1_precomputed
GSK2830371A,GSK2830371A,,failed
GSK3337463A,GSK3337463A,,failed
GSK343,GSK343,71268957.0,tier1_precomputed
GSK591,GSK591,117072552.0,tier1_precomputed
GSK626616AC,GSK626616AC,,failed
GW441756,GW441756,73755109.0,tier1_precomputed
Gallibiscoquinazole,Gallibiscoquinazole,353472.0,tier1_precomputed
Gefitinib,Gefitinib,123631.0,tier1_precomputed
Gemcitabine,Gemcitabine,60750.0,tier1_precomputed
HKMTI-1-005,HKMTI-1-005,53315436.0,tier1_precomputed
I-BET-762,I-BET-762,46943432.0,tier1_precomputed
I-BRD9,I-BRD9,91668541.0,tier1_precomputed
IAP_5620,IAP_5620,,failed
ICL-SIRT078,ICL-SIRT078,45168044.0,tier1_precomputed
IGF1R_3801,IGF1R_3801,,failed
IOX2,IOX2,54685215.0,tier1_precomputed
IRAK4_4710,IRAK4_4710,,failed
IWP-2,IWP-2,2155128.0,tier1_precomputed
Ibrutinib,Ibrutinib,24821094.0,tier1_precomputed
Ipatasertib,Ipatasertib,24788740.0,tier1_precomputed
Irinotecan,Irinotecan,60838.0,tier1_precomputed
JAK1_8709,JAK1_8709,,failed
JAK_8517,JAK_8517,,failed
JNK Inhibitor VIII,JNK Inhibitor VIII,11624601.0,tier1_precomputed
JQ1,JQ1,46907787.0,tier1_precomputed
KRAS (G12C) Inhibitor-12,KRAS (G12C) Inhibitor-12,,failed
KU-55933,KU-55933,5278396.0,tier1_precomputed
L-Oxonoreleagnine,L-Oxonoreleagnine,87371.0,tier1_precomputed
LCL161,LCL161,24737642.0,tier1_precomputed
LGK974,LGK974,46926973.0,tier1_precomputed
LJI308,LJI308,118704762.0,tier1_precomputed
LMB_AB1,LMB_AB1,,failed
LMB_AB2,LMB_AB2,,failed
LMB_AB3,LMB_AB3,,failed
LMP744,LMP744,397888.0,tier1_precomputed
LY2109761,LY2109761,11655119.0,tier1_precomputed
Lapatinib,Lapatinib,208908.0,tier1_precomputed
Leflunomide,Leflunomide,3899.0,tier1_precomputed
Lenalidomide,Lenalidomide,216326.0,tier1_precomputed
Lestaurtinib,Lestaurtinib,126565.0,tier1_precomputed
Linsitinib,Linsitinib,11640390.0,tier1_precomputed
Luminespib,Luminespib,135539077.0,tier1_precomputed
MG-132,MG-132,462382.0,tier1_precomputed
MIM1,MIM1,135691163.0,tier1_precomputed
MIRA-1,MIRA-1,227681.0,tier1_precomputed
MK-1775,MK-1775,24856436.0,tier1_precomputed
MK-2206,MK2206,24964624.0,tier1_precomputed
MK-8776,MK-8776,46239015.0,tier1_precomputed
ML323,ML323,60167849.0,tier1_precomputed
MN-64,MN-64,2802462.0,tier1_precomputed
Methotrexate,Methotrexate,126941.0,tier1_precomputed
Mirin,Mirin,1206243.0,tier1_precomputed
Mitoxantrone,Mitoxantrone,4212.0,tier1_precomputed
Motesanib,Motesanib,11667893.0,tier1_precomputed
Mycophenolic acid,Mycophenolic acid,446541.0,tier1_precomputed
N-acetyl cysteine,N-acetyl cysteine,12035.0,tier1_precomputed
N25720-51-A1,N25720-51-A1,,failed
N27922-53-1,N27922-53-1,,failed
N29087-69-1,N29087-69-1,,failed
N30652-18-1,N30652-18-1,,failed
NU7441,NU7441,11327430.0,tier1_precomputed
NVP-ADW742,NVP-ADW742,9825149.0,tier1_precomputed
Navitoclax,Navitoclax,24978538.0,tier1_precomputed
Nelarabine,Nelarabine,3011155.0,tier1_precomputed
Nilotinib,Nilotinib,644241.0,tier1_precomputed
Niraparib,Niraparib,24958200.0,tier1_precomputed
Nutlin-3a (-),Nutlin-3a,11433190.0,tier1_precomputed
OF-1,OF-1,35397514.0,tier1_precomputed
OSI-027,OSI-027,135398516.0,tier1_precomputed
OTX015,OTX015,9936746.0,tier1_precomputed
Obatoclax Mesylate,Obatoclax Mesylate,16681698.0,tier1_precomputed
Olaparib,Olaparib,23725625.0,tier1_precomputed
Osimertinib,Osimertinib,71496458.0,tier1_precomputed
Oxaliplatin,Oxaliplatin,9887053.0,tier1_precomputed
P22077,P22077,46931953.0,tier1_precomputed
PAK_5339,PAK_5339,,failed
PBD-288,PBD-288,,failed
PCI-34051,PCI-34051,24753719.0,tier1_precomputed
PD0325901,PD0325901,9826528.0,tier1_precomputed
PD173074,PD173074,1401.0,tier1_precomputed
PF-4708671,PF-4708671,51371303.0,tier1_precomputed
PFI-1,PFI-1,71271629.0,tier1_precomputed
PFI3,PFI3,78243717.0,tier1_precomputed
PLX-4720,PLX-4720,24180719.0,tier1_precomputed
POMHEX,POMHEX,122540908.0,tier1_precomputed
PRIMA-1MET,PRIMA-1MET,52918385.0,tier1_precomputed
PRT062607,PRT062607,44462758.0,tier1_precomputed
Paclitaxel,Paclitaxel,36314.0,tier1_precomputed
Palbociclib,Palbociclib,5330286.0,tier1_precomputed
Pevonedistat,Pevonedistat,16720766.0,tier1_precomputed
Picolinici-acid,Picolinici-acid,,failed
Pictilisib,Pictilisib,17755052.0,tier1_precomputed
Piperlongumine,Piperlongumine,637858.0,tier1_precomputed
Podophyllotoxin bromide,Podophyllotoxin bromide,234820.0,tier1_precomputed
Pyridostatin,Pyridostatin,25227847.0,tier1_precomputed
RO-3306,RO-3306,136240579.0,tier1_precomputed
RVX-208,RVX-208,135564749.0,tier1_precomputed
Rapamycin,Sirolimus,5284616.0,tier1_precomputed
Refametinib,Refametinib,44182295.0,tier1_precomputed
Remodelin,Remodelin,44442376.0,tier1_precomputed
Ribociclib,Ribociclib,44631912.0,tier1_precomputed
Romidepsin,Romidepsin,5352062.0,tier1_precomputed
