gene,stability_score
SDC4,0.65
TFF3,0.55
HOXB8,0.5
ZNF595,0.475
APBA2,0.475
SGCE,0.45
DNAJC12,0.45
MAGEC2,0.45
PTK7,0.45
CCND2,0.45
MDFIC,0.425
ANKRD1,0.425
DZIP1,0.425
SLC35G2,0.425
RNASE1,0.425
TGM2,0.425
PARVG,0.425
CELSR1,0.4
GULP1,0.4
TSPAN5,0.4
MFAP5,0.4
SULT1A1,0.4
CAVIN3,0.4
CCL2,0.4
GSTP1,0.4
MET,0.4
FBN2,0.4
SLCO4A1,0.4
CYP24A1,0.375
A4GALT,0.375
PDLIM1,0.375
TOR4A,0.375
LDHB,0.375
IGLL1,0.375
ERAP2,0.375
KCNK1,0.375
DDIT4,0.375
C16orf74,0.375
LOXL4,0.35
S100A13,0.35
CD70,0.35
DNER,0.35
MAGEH1,0.35
EVA1A,0.35
ST3GAL1,0.35
MYO1E,0.35
PCSK1N,0.35
TSTD1,0.35
QPCT,0.35
PTPRU,0.35
SULF2,0.325
GTSF1,0.325
NDN,0.325
C8orf88,0.325
NMNAT2,0.325
TIMP2,0.325
DAB2,0.325
LXN,0.325
PROM1,0.325
NPNT,0.325
MGST2,0.325
KRTCAP3,0.325
SLC17A9,0.325
TXNIP,0.325
GLB1L2,0.325
SLFN13,0.325
LAPTM5,0.325
IGFBP4,0.325
TPD52,0.325
GRAMD2B,0.325
SKAP1,0.325
P4HA2,0.325
POGLUT3,0.325
HDAC9,0.325
SUSD3,0.325
MSX2,0.325
GNB4,0.325
CAVIN2,0.3
SYTL2,0.3
PSAT1,0.3
CYP27A1,0.3
ADAM12,0.3
MDFI,0.3
CCL28,0.3
GALM,0.3
CD22,0.3
PRSS2,0.3
JUN,0.3
PCSK6,0.3
RGCC,0.3
RGS4,0.3
NMU,0.3
GALC,0.3
CYP1A1,0.3
LDOC1,0.3
BEX4,0.3
ITGA4,0.3
CADM1,0.3
MTARC2,0.3
NGEF,0.3
LRRC17,0.3
SLC38A5,0.3
ARL4C,0.3
TSC22D3,0.3
NR2F2,0.3
FOLR1,0.3
LFNG,0.3
MXRA8,0.3
SOCS2,0.3
H1-2,0.3
FBLN2,0.3
CHI3L1,0.275
A1BG,0.275
PTP4A3,0.275
SAT1,0.275
USP9Y,0.275
NEBL,0.275
SPOCK2,0.275
DCLK1,0.275
GPX3,0.275
CTAG2,0.275
IFI30,0.275
FGFR3,0.275
IFI27L2,0.275
MGLL,0.275
ITGB7,0.275
PLXND1,0.275
SOX13,0.275
ITGB8,0.275
MAGEA10,0.275
THNSL2,0.275
CCNA1,0.275
DPYSL3,0.275
MB,0.275
CKAP4,0.275
TUBB2B,0.275
PRODH,0.275
TFF1,0.275
TUBB3,0.275
THBS2,0.275
CNKSR1,0.275
INA,0.275
CHGB,0.275
CASP1,0.275
UPK3B,0.275
CTSV,0.275
CPS1,0.275
ASRGL1,0.275
DEFB1,0.275
TRNP1,0.275
GPX1,0.275
CELF2,0.275
TMEM176B,0.275
BIN1,0.275
PPP1R14C,0.275
COL18A1,0.275
CPVL,0.275
HBA2,0.275
TTC39A,0.275
SERPINB9,0.275
ARHGAP29,0.275
MOK,0.275
GAS6,0.275
SPATS2L,0.275
PHGDH,0.275
PSG4,0.275
IRX3,0.275
MX2,0.275
SDC2,0.275
IFITM2,0.275
BASP1,0.275
WNT5B,0.25
BST2,0.25
LZTS1,0.25
ALOX5,0.25
GSDME,0.25
DKK1,0.25
CDKN1A,0.25
GCHFR,0.25
HOXB9,0.25
TSPAN7,0.25
SLCO1B3,0.25
SHISA4,0.25
RAB34,0.25
PDZK1,0.25
HOXB7,0.25
CACNA2D4,0.25
FST,0.25
AQP3,0.25
DPP4,0.25
CRYAB,0.25
PHACTR1,0.25
YBX3,0.25
RASGRP3,0.25
REEP2,0.25
IGSF3,0.25
NUP210,0.25
CEACAM6,0.25
DNALI1,0.25
LUM,0.25
MSC,0.25
PLEKHB1,0.25
MME,0.25
STEAP1B,0.25
CST1,0.25
SEMA4A,0.25
CEBPD,0.25
PLAAT4,0.25
SORL1,0.25
NRCAM,0.25
BCAT1,0.25
GPX7,0.25
SERPINB2,0.25
XAGE1B,0.25
CBR1,0.25
MAOA,0.25
TMEM45B,0.25
SLC16A5,0.25
SPNS2,0.25
HSPB8,0.25
SECTM1,0.25
GPX8,0.25
ITGA1,0.25
STC1,0.25
SMOC1,0.25
ZNF711,0.25
PDE4B,0.25
CDH6,0.25
PLIN2,0.25
PCDH7,0.25
PTN,0.25
CES1,0.25
KRT23,0.25
TUSC1,0.25
P3H2,0.25
SYNGR1,0.25
FCGRT,0.25
FYN,0.25
ZNF185,0.25
NETO2,0.25
COL4A5,0.25
INPP4B,0.25
MYO10,0.25
PCP4,0.25
NID1,0.25
GREM1,0.25
ABCC2,0.25
APCDD1,0.25
CDH11,0.25
CMBL,0.25
SPINK1,0.25
PBX1,0.25
EPS8L1,0.25
APBB1IP,0.25
LRATD2,0.25
NCAM1,0.25
SPON2,0.25
PI3,0.25
MIA,0.25
UNC5B,0.25
ITGB2,0.25
DHRS2,0.25
EPB41L2,0.25
CD163L1,0.25
MPZL2,0.25
UBA7,0.25
NPTX2,0.25
GCNT2,0.25
GLIPR2,0.25
MELTF,0.225
HDGFL3,0.225
SPRR1B,0.225
NEO1,0.225
IL1R2,0.225
GASK1B,0.225
NLRP2,0.225
GAL,0.225
C4BPB,0.225
MFGE8,0.225
ELAPOR2,0.225
LCK,0.225
MT1G,0.225
DLC1,0.225
MGMT,0.225
SERINC2,0.225
NGFR,0.225
TMT1B,0.225
TESC,0.225
TMSB15A,0.225
HOPX,0.225
S100A14,0.225
CT45A1,0.225
HMGN5,0.225
GSDMD,0.225
ELOVL2,0.225
COL11A1,0.225
RBPMS,0.225
LURAP1L,0.225
MKRN3,0.225
GJB2,0.225
SORBS3,0.225
PODXL,0.225
ADORA1,0.225
CAMK2N1,0.225
CCL20,0.225
DMD,0.225
NFATC4,0.225
CEACAM1,0.225
CD36,0.225
BARX2,0.225
PTGS2,0.225
PCOLCE2,0.225
PTPN6,0.225
VEPH1,0.225
MAL,0.225
PTPN13,0.225
ZBED2,0.225
RPS4Y1,0.225
PLAGL1,0.225
LIPG,0.225
FARP1,0.225
SH3BGRL,0.225
SOCS3,0.225
PDGFRA,0.225
CPT1C,0.225
OLFM1,0.225
TYRP1,0.225
ADAM23,0.225
ZIC1,0.225
CDC42EP3,0.225
ARHGAP22,0.225
VAMP5,0.225
MAPK13,0.225
EGR1,0.225
KCTD14,0.225
TNNC1,0.225
H2AC25,0.225
HOXD10,0.225
GSTT2B,0.225
RGS20,0.225
EGFL7,0.225
KIF1A,0.225
CPM,0.225
IGFBP2,0.225
MEST,0.225
SERPINB7,0.225
NME4,0.225
DUSP23,0.225
CXCL8,0.225
LGALS3BP,0.225
IGF2BP1,0.225
UBD,0.225
AKR1B10,0.225
NAV2,0.2
MID1,0.2
B3GALNT1,0.2
CENPV,0.2
ALDH1A3,0.2
BAMBI,0.2
CYBA,0.2
GAGE12F,0.2
IL13RA2,0.2
TFAP2A,0.2
MSLN,0.2
APOBEC3G,0.2
DNAH14,0.2
LAMA3,0.2
SLC2A10,0.2
GJA1,0.2
SFRP1,0.2
STAT6,0.2
HLA-DRB1,0.2
GBP2,0.2
CT83,0.2
OLFM2,0.2
NCALD,0.2
P3H3,0.2
MLLT11,0.2
SCG5,0.2
FBLIM1,0.2
HLA-A,0.2
UNC13D,0.2
VAV3,0.2
ZSCAN18,0.2
SLC27A2,0.2
DTX3,0.2
LPCAT2,0.2
DMKN,0.2
TMEM156,0.2
LAT2,0.2
RFLNB,0.2
CALB1,0.2
RPP25,0.2
CDH13,0.2
RBP7,0.2
MAGEA1,0.2
GJC1,0.2
COPZ2,0.2
AP1M2,0.2
NKD2,0.2
LBH,0.2
TMEM139,0.2
ICAM1,0.2
ELMO1,0.2
TUSC3,0.2
GFRA1,0.2
CRIP1,0.2
CAPN8,0.2
CKB,0.2
S100A9,0.2
NUDT11,0.2
NPIPA8,0.2
EYA4,0.2
HS6ST2,0.2
ADGRG6,0.2
CBS,0.2
BNIP3,0.2
LGMN,0.2
CLDN1,0.2
CLDN11,0.2
TYMP,0.2
PTPRM,0.2
SULF1,0.2
PMAIP1,0.2
TNFRSF19,0.2
CPNE8,0.2
NES,0.2
IL1RAP,0.2
MAGEB2,0.2
HOXB2,0.2
RAB33A,0.2
TES,0.2
ADM,0.2
SYCP2,0.2
AK5,0.2
MFNG,0.2
C2orf74,0.2
AKR1B1,0.2
ITGBL1,0.2
GRAMD1B,0.2
LY6K,0.2
CP,0.2
MAGEA6,0.2
IGFBP6,0.2
HMGA2,0.2
TMSB4X,0.2
ALDH1L2,0.2
GSTM1,0.2
EDNRB,0.2
RARRES1,0.2
HSPA1A,0.2
MT1A,0.2
KCNE3,0.2
COL6A1,0.2
EDIL3,0.2
IL2RG,0.2
CHMP4C,0.2
ANGPTL4,0.2
GSN,0.2
TMEM98,0.2
MCAM,0.2
METRNL,0.2
PLS3,0.2
PDLIM4,0.2
CST6,0.2
HSPA2,0.2
RAB37,0.2
NPAS2,0.2
PDZK1IP1,0.2
SEPTIN6,0.2
FGF2,0.2
CXCL3,0.2
STEAP1,0.2
RGS2,0.2
SNTB1,0.2
PLAC8,0.2
LRATD1,0.2
CT45A10,0.2
SLC12A8,0.2
FZD6,0.2
OAS3,0.2
NID2,0.2
MT1E,0.2
GOLGA8A,0.2
NFE2L3,0.2
TNFSF9,0.2
CRISPLD1,0.2
LRIG1,0.2
GLRX,0.2
FBLN1,0.2
DCDC2,0.2
SPRY4,0.2
MAGEA4,0.2
SYNPO,0.2
PRSS23,0.2
SLC7A2,0.2
CADM4,0.175
ST6GAL1,0.175
SMIM22,0.175
ADORA2B,0.175
RGS16,0.175
NLRC5,0.175
PLPP2,0.175
EMILIN1,0.175
CA9,0.175
CYB5A,0.175
POF1B,0.175
PDE10A,0.175
PHLDB2,0.175
TNIK,0.175
MCOLN3,0.175
LRP12,0.175
KRTAP2-3,0.175
COCH,0.175
RUNX2,0.175
CEMIP,0.175
PSG5,0.175
SPANXA2,0.175
CDA,0.175
APOE,0.175
PNMA2,0.175
MXRA7,0.175
CLIP3,0.175
CST3,0.175
SLFN12,0.175
ALOX5AP,0.175
FJX1,0.175
DOCK8,0.175
TM4SF19,0.175
BDH1,0.175
KRT4,0.175
C1QL1,0.175
NPTX1,0.175
LTBP1,0.175
CFD,0.175
WNT5A,0.175
STEAP4,0.175
SPTBN2,0.175
FBP1,0.175
TMEM40,0.175
FBXO32,0.175
NLRP1,0.175
LTBR,0.175
AKT3,0.175
CLDN2,0.175
SLC37A2,0.175
BDNF,0.175
SLC43A3,0.175
SELENOM,0.175
ADD2,0.175
GNG4,0.175
ID2,0.175
LGALS4,0.175
FOXQ1,0.175
LIFR,0.175
GLDC,0.175
PDPN,0.175
PNMA8A,0.175
ADGRG1,0.175
CD276,0.175
SLC6A15,0.175
RFTN1,0.175
