DRUG_NAME,ModelID,COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,LN_IC50
123138,ACH-000001,905933,OVCAR-3,OV,2.685017
123138,ACH-000002,905938,HL-60,LAML,2.388493
123138,ACH-000004,907053,HEL,LAML,1.836313
123138,ACH-000007,907795,LS-513,COREAD,3.351829
123138,ACH-000008,910921,A101D,SKCM,3.533976
123138,ACH-000009,910700,C2BBe1,COREAD,4.339999
123138,ACH-000012,1240146,HCC-827,LUAD,2.400159
123138,ACH-000015,908471,NCI-H1581,UNCLASSIFIED,3.0184
123138,ACH-000019,905946,MCF7,BRCA,2.774084
123138,ACH-000020,908132,MHH-CALL-2,UNCLASSIFIED,2.458898
123138,ACH-000021,687802,NCI-H1693,LUAD,4.952361
123138,ACH-000023,1240201,PA-TU-8988T,PAAD,2.344009
123138,ACH-000024,909249,OPM-2,MM,2.189283
123138,ACH-000030,753608,PC-14,LUAD,3.835433
123138,ACH-000035,687800,NCI-H1650,LUAD,4.567158
123138,ACH-000040,687588,U-118-MG,GBM,3.645807
123138,ACH-000042,1298475,PANC-02-03,PAAD,4.230988
123138,ACH-000046,905950,ACHN,KIRC,3.293214
123138,ACH-000047,906869,GCIY,STAD,3.777259
123138,ACH-000048,1299070,TOV-112D,OV,2.599526
123138,ACH-000050,724825,NCI-H929,MM,1.364259
123138,ACH-000052,684052,A673,UNCLASSIFIED,2.705026
123138,ACH-000053,907273,KARPAS-299,UNCLASSIFIED,1.680193
123138,ACH-000054,907064,HT-1080,UNCLASSIFIED,3.323175
123138,ACH-000055,906834,D-283MED,MB,2.579975
123138,ACH-000056,906842,DOHH-2,DLBC,1.058935
123138,ACH-000059,1247871,SUP-B15,ALL,2.000184
123138,ACH-000060,925348,PANC-10-05,PAAD,4.977972
123138,ACH-000061,907056,HH,UNCLASSIFIED,2.985641
123138,ACH-000065,1330983,OCI-AML5,LAML,2.268942
123138,ACH-000070,906800,697,UNCLASSIFIED,2.053188
123138,ACH-000072,908126,MEG-01,LCML,2.814115
123138,ACH-000073,1303897,GRANTA-519,DLBC,3.445954
123138,ACH-000074,907311,KU812,LCML,1.830838
123138,ACH-000075,687590,U-87-MG,GBM,3.80471
123138,ACH-000081,906870,GDM-1,LAML,2.84258
123138,ACH-000082,1290807,G-292-Clone-A141B1,UNCLASSIFIED,3.973271
123138,ACH-000087,684072,SK-ES-1,UNCLASSIFIED,2.180299
123138,ACH-000090,905934,PC-3,PRAD,3.392394
123138,ACH-000091,1480362,OV-56,OV,1.900953
123138,ACH-000094,724869,HPAF-II,PAAD,3.286974
123138,ACH-000096,907299,G-401,UNCLASSIFIED,2.913762
123138,ACH-000098,906868,GAMG,LGG,2.243607
123138,ACH-000099,753620,SIMA,NB,2.810102
123138,ACH-000100,1240210,RH-41,UNCLASSIFIED,2.090047
123138,ACH-000101,907277,KE-37,ALL,1.893505
123138,ACH-000104,907789,LOUCY,ALL,2.449709
123138,ACH-000105,1295740,ALL-SIL,ALL,2.222502
123138,ACH-000106,907269,JVM-2,CLL,2.111307
123138,ACH-000107,910915,CAPAN-2,PAAD,3.950846
123138,ACH-000108,1298219,KP-3,UNCLASSIFIED,2.696665
123138,ACH-000111,749711,HCC1187,BRCA,2.876272
123138,ACH-000113,910947,OCI-AML2,LAML,1.975307
123138,ACH-000114,1240218,SU8686,PAAD,3.729434
123138,ACH-000115,1299075,VCaP,PRAD,3.730629
123138,ACH-000116,946360,OAW-28,OV,3.524764
123138,ACH-000117,1290798,EFM-192A,BRCA,3.287073
123138,ACH-000118,907285,HuP-T3,PAAD,4.025885
123138,ACH-000120,906820,CHP-212,NB,2.888703
123138,ACH-000121,687821,NCI-H2405,LUAD,4.839179
123138,ACH-000137,687562,8-MG-BA,GBM,2.890366
123138,ACH-000138,906821,CFPAC-1,PAAD,2.85658
123138,ACH-000142,1290730,CAL-29,BLCA,0.857085
123138,ACH-000144,1240209,RERF-GC-1B,STAD,2.495227
123138,ACH-000145,909720,SK-LMS-1,UNCLASSIFIED,2.949797
123138,ACH-000147,905945,T47D,BRCA,3.322569
123138,ACH-000148,905957,Hs-578-T,BRCA,3.416915
123138,ACH-000153,688058,NCI-H2052,MESO,2.858092
123138,ACH-000157,910934,A4-Fuk,DLBC,2.059012
123138,ACH-000159,909250,OS-RC-2,KIRC,3.94964
123138,ACH-000161,906805,COR-L105,LUAD,3.17946
123138,ACH-000162,1303896,GA-10,UNCLASSIFIED,2.545587
123138,ACH-000168,908451,NOMO-1,LAML,2.644816
123138,ACH-000169,909264,RD,UNCLASSIFIED,3.574169
123138,ACH-000171,909781,VMRC-RCZ,KIRC,5.310831
123138,ACH-000174,906828,CAL-62,THCA,2.56519
123138,ACH-000176,1298226,LOU-NH91,LUSC,3.219892
123138,ACH-000181,909709,SCC-9,HNSC,3.054415
123138,ACH-000183,924239,L-363,MM,2.107836
123138,ACH-000187,687980,COR-L311,SCLC,2.799846
123138,ACH-000189,909974,RCC10RGB,KIRC,2.707232
123138,ACH-000191,906696,BHT-101,THCA,2.965669
123138,ACH-000192,908129,MFE-280,UCEC,4.003875
123138,ACH-000193,1327775,KARPAS-620,MM,2.629999
123138,ACH-000198,906856,EoL-1-cell,UNCLASSIFIED,1.827887
123138,ACH-000201,910784,A204,UNCLASSIFIED,3.849486
123138,ACH-000204,907791,LP-1,MM,2.172116
123138,ACH-000207,906837,Detroit562,HNSC,3.039482
123138,ACH-000210,753539,CADO-ES1,UNCLASSIFIED,2.16213
123138,ACH-000211,906833,Daoy,MB,2.729893
123138,ACH-000212,906826,CAL-120,BRCA,4.754414
123138,ACH-000213,907286,HuP-T4,PAAD,2.242943
123138,ACH-000217,1240159,JHH-6,LIHC,4.367121
123138,ACH-000219,906793,A375,SKCM,3.677076
123138,ACH-000221,1240217,SNU-398,LIHC,3.263103
123138,ACH-000222,910702,AsPC-1,PAAD,6.386828
123138,ACH-000223,749714,HCC1937,BRCA,4.108841
123138,ACH-000226,1331040,SUP-M2,UNCLASSIFIED,1.614087
123138,ACH-000227,907314,KP-N-YN,NB,3.934582
123138,ACH-000231,907271,KALS-1,LGG,3.191455
123138,ACH-000232,905983,U251,GBM,2.329409
123138,ACH-000233,906836,DEL,UNCLASSIFIED,1.989443
123138,ACH-000236,909747,SW1417,COREAD,4.327196
123138,ACH-000238,910904,SCC-4,HNSC,3.580852
123138,ACH-000242,687455,RT4,BLCA,2.807519
123138,ACH-000243,1290797,DAN-G,PAAD,2.935078
123138,ACH-000244,906839,DK-MG,GBM,2.544744
123138,ACH-000245,910706,BL-41,UNCLASSIFIED,1.424471
123138,ACH-000247,1298358,OCUM-1,STAD,4.101195
123138,ACH-000248,910704,AU565,BRCA,2.396292
123138,ACH-000249,1290769,CL-11,COREAD,4.265552
123138,ACH-000250,1298169,KMRC-20,KIRC,2.436846
123138,ACH-000252,917486,LS-1034,COREAD,2.755726
123138,ACH-000254,910911,SCC-15,HNSC,2.958694
123138,ACH-000258,906844,DU-4475,BRCA,2.116457
123138,ACH-000259,753618,KELLY,NB,1.71283
123138,ACH-000260,724828,SK-N-AS,NB,1.83231
123138,ACH-000263,907275,KASUMI-1,LAML,1.65225
123138,ACH-000264,724859,Calu-6,LUAD,2.580617
123138,ACH-000265,753572,KP-4,PAAD,2.837163
123138,ACH-000267,924110,HDLM-2,UNCLASSIFIED,2.540314
123138,ACH-000269,910933,AM-38,GBM,2.776481
123138,ACH-000270,1298136,HPAC,PAAD,4.68225
123138,ACH-000271,1331033,SU-DHL-10,DLBC,1.84938
123138,ACH-000273,905984,SF539,LGG,2.581387
123138,ACH-000276,749717,HCC38,BRCA,1.768912
123138,ACH-000277,907045,HCC1419,BRCA,2.379929
123138,ACH-000281,1298218,KP-2,PAAD,3.193567
123138,ACH-000282,908475,NCI-H1755,LUAD,3.216737
123138,ACH-000288,905951,BT-549,BRCA,2.557263
123138,ACH-000290,688013,NCI-H209,SCLC,2.767637
123138,ACH-000291,1240197,OV-90,OV,4.657542
123138,ACH-000292,1240192,NCI-H841,SCLC,2.059021
123138,ACH-000293,924187,KLE,UCEC,4.47406
123138,ACH-000295,906855,EM-2,LCML,1.470932
123138,ACH-000298,688011,NCI-H2029,SCLC,3.176337
123138,ACH-000301,907783,LAMA-84,LCML,2.219607
123138,ACH-000303,908445,SNU-5,STAD,3.068815
123138,ACH-000304,909784,WM-115,SKCM,1.759866
123138,ACH-000305,753555,EC-GI-10,ESCA,3.130172
123138,ACH-000308,911905,EFO-21,OV,4.168725
123138,ACH-000309,909721,SK-LU-1,LUAD,4.742729
123138,ACH-000311,722046,NCI-H2122,LUAD,2.286732
123138,ACH-000315,907274,KARPAS-422,DLBC,3.044396
123138,ACH-000319,908150,MPP-89,MESO,3.35065
123138,ACH-000320,910546,PSN1,PAAD,3.824277
123138,ACH-000322,907067,HT-144,SKCM,2.653945
123138,ACH-000323,687561,42-MG-BA,GBM,1.96569
123138,ACH-000326,1327771,JURL-MK1,LCML,1.395063
123138,ACH-000330,906851,EFM-19,BRCA,1.877577
123138,ACH-000332,909904,YAPC,PAAD,3.385355
123138,ACH-000334,906832,DB,DLBC,1.608949
123138,ACH-000335,908152,MSTO-211H,MESO,1.972608
123138,ACH-000336,1290455,OCI-AML3,LAML,2.66562
123138,ACH-000337,1240190,NCI-H3122,LUAD,3.593762
123138,ACH-000338,905965,SR,UNCLASSIFIED,1.487616
123138,ACH-000343,905944,NCI-H522,LUAD,3.078276
123138,ACH-000346,907270,JVM-3,CLL,2.642504
123138,ACH-000347,1298534,QGP-1,UNCLASSIFIED,4.305269
123138,ACH-000348,910903,RPMI-7951,SKCM,2.564735
123138,ACH-000349,1303900,HCC1500,BRCA,2.503661
123138,ACH-000350,910689,COLO-678,COREAD,3.991799
123138,ACH-000351,908138,MKN1,UNCLASSIFIED,3.758693
123138,ACH-000352,1290905,HCC1428,BRCA,3.145664
123138,ACH-000353,753614,TE-15,ESCA,2.420886
123138,ACH-000354,753624,CAPAN-1,PAAD,3.563228
123138,ACH-000355,688031,NCI-H82,SCLC,2.008885
123138,ACH-000356,925340,MKN45,STAD,3.743947
123138,ACH-000359,908131,MG-63,UNCLASSIFIED,2.67343
123138,ACH-000361,909719,SK-HEP-1,LIHC,2.176046
123138,ACH-000362,1330947,MOLM-13,LAML,0.586435
123138,ACH-000363,753612,SK-MM-2,MM,3.486122
123138,ACH-000364,909776,U-2-OS,UNCLASSIFIED,2.690817
123138,ACH-000366,688086,SK-N-DZ,NB,0.90309
123138,ACH-000367,905941,NCI-H226,LUSC,5.323861
123138,ACH-000372,909251,P12-ICHIKAWA,ALL,1.979934
123138,ACH-000373,909722,SKM-1,UNCLASSIFIED,2.49743
123138,ACH-000374,749710,HCC1143,BRCA,3.675363
123138,ACH-000375,907298,G-402,UNCLASSIFIED,3.461867
123138,ACH-000379,1298350,NCI-H1781,LUAD,3.520317
123138,ACH-000380,907281,KMS-12-BM,MM,1.41907
123138,ACH-000381,909761,T84,COREAD,3.381327
123138,ACH-000383,910549,OE33,ESCA,3.890284
123138,ACH-000384,687457,SW780,BLCA,3.629258
123138,ACH-000386,907278,KG-1,LAML,2.220494
123138,ACH-000389,907042,H4,LGG,2.420193
123138,ACH-000391,908134,MHH-ES-1,UNCLASSIFIED,3.1044
123138,ACH-000392,687777,Calu-3,LUAD,3.577031
123138,ACH-000395,908443,NCI-H520,LUSC,2.252671
123138,ACH-000396,753566,J82,BLCA,3.999853
123138,ACH-000400,909718,SK-CO-1,COREAD,1.908264
123138,ACH-000403,908457,NCI-H747,COREAD,4.138111
123138,ACH-000408,735784,TE-5,ESCA,3.408788
123138,ACH-000410,909707,Saos-2,UNCLASSIFIED,2.225212
123138,ACH-000411,910922,769-P,KIRC,2.345511
123138,ACH-000414,1240185,NCI-H1944,LUAD,3.731346
123138,ACH-000417,925347,PANC-08-13,PAAD,4.192836
123138,ACH-000420,909738,SNU-449,LIHC,4.380424
123138,ACH-000421,909755,SW837,COREAD,2.146236
123138,ACH-000424,1240221,TC-71,UNCLASSIFIED,2.625186
123138,ACH-000425,905976,UACC-62,SKCM,3.44362
